id,molecule_chembl_id,MW,LogP,NumHDonors,NumHAcceptors,Druglikeness
72,CHEMBL1203534,352.4420000000001,1.2950599999999992,2.0,7.0,1.0
73,CHEMBL541044,331235.0,2.7143000000000006,1.0,5.0,0.0
74,CHEMBL543779,305403.0,2.6036800000000007,1.0,6.0,0.0
75,CHEMBL155495,289339.0,0.5833600000000008,3.0,7.0,0.0
76,CHEMBL64011,472.6740000000004,4.207000000000003,1.0,6.0,1.0
77,CHEMBL65585,514.7550000000006,5.377300000000006,1.0,6.0,0.0
78,CHEMBL347539,328.4200000000001,1.0327600000000006,3.0,7.0,1.0
79,CHEMBL154433,356.4300000000002,0.3653600000000003,2.0,8.0,1.0
80,CHEMBL157208,372.49800000000016,1.0819599999999991,2.0,8.0,1.0
81,CHEMBL1790041,314411.0,1.459,2.0,7.0,0.0
82,CHEMBL65356,430.59300000000025,3.036700000000001,1.0,6.0,1.0
83,CHEMBL154366,368.4850000000001,1.76506,2.0,7.0,1.0
84,CHEMBL153821,382.51200000000017,2.29606,2.0,7.0,1.0
85,CHEMBL416644,313418.0,3.0157000000000016,1.0,4.0,0.0
86,CHEMBL94,275352.0,1.7739,1.0,4.0,0.0
87,CHEMBL303574,416.5660000000002,2.6466000000000003,1.0,6.0,1.0
88,CHEMBL65018,458.64700000000033,3.816900000000002,1.0,6.0,1.0
89,CHEMBL296277,320.43800000000005,2.7482800000000003,1.0,5.0,1.0
90,CHEMBL66309,444.6200000000003,3.426800000000002,1.0,6.0,1.0
91,CHEMBL1203535,384.4840000000002,1.143960000000001,2.0,8.0,1.0
92,CHEMBL296560,346.27,2.858900000000001,1.0,4.0,1.0
93,CHEMBL152260,370.45700000000016,0.4898599999999996,3.0,8.0,1.0
94,CHEMBL154950,346.4310000000001,0.7732999999999994,3.0,7.0,1.0
95,CHEMBL296669,345262.0,3.104400000000002,1.0,5.0,0.0
96,CHEMBL1203538,368.4850000000002,1.9091599999999989,2.0,7.0,1.0
97,CHEMBL19060,590.9440000000003,6.264600000000006,4.0,8.0,0.0
98,CHEMBL422977,568.8910000000004,6.833700000000007,4.0,6.0,0.0
99,CHEMBL11805,666.9920000000003,7.64580000000001,0.0,6.0,0.0
100,CHEMBL302179,554.8640000000004,6.443600000000006,4.0,6.0,0.0
101,CHEMBL27673,582.9180000000005,7.223800000000008,4.0,6.0,0.0
102,CHEMBL132377,638.9380000000004,6.961400000000008,2.0,6.0,0.0
103,CHEMBL132133,350.6420000000003,2.5851999999999995,4.0,6.0,1.0
104,CHEMBL95,198.26899999999992,2.695800000000001,1.0,2.0,1.0
105,CHEMBL134488,610.8840000000005,6.2770000000000055,4.0,6.0,0.0
106,CHEMBL134382,540.8370000000003,6.053500000000005,4.0,6.0,0.0
107,CHEMBL59109,350.26200000000006,3.494600000000001,2.0,3.0,1.0
108,CHEMBL286990,257.27,0.1501000000000001,1.0,6.0,1.0
109,CHEMBL294891,296.29200000000003,2.9522000000000004,2.0,3.0,1.0
110,CHEMBL1255901,242.322,1.9975,2.0,2.0,1.0
111,CHEMBL89011,248.285,3.376400000000002,1.0,3.0,1.0
112,CHEMBL748,137162.0,0.3191999999999999,1.0,2.0,0.0
113,CHEMBL50608,220275.0,3.4840000000000018,1.0,2.0,0.0
114,CHEMBL29300,261327.0,-0.9878999999999978,1.0,5.0,0.0
115,CHEMBL27675,262311.0,-0.860599999999998,1.0,6.0,0.0
116,CHEMBL435373,296292.0,2.9522000000000004,2.0,3.0,0.0
117,CHEMBL60167,232.286,3.388200000000001,1.0,2.0,1.0
118,CHEMBL89012,246.313,3.582600000000002,1.0,2.0,1.0
119,CHEMBL314800,264.35299999999995,4.0897000000000014,1.0,3.0,1.0
120,CHEMBL553212,223.3,0.2164999999999997,1.0,4.0,1.0
121,CHEMBL156630,426.3140000000001,4.5945000000000045,1.0,4.0,1.0
122,CHEMBL315013,454.6120000000002,4.909000000000005,1.0,5.0,1.0
123,CHEMBL155754,305.76500000000004,2.915000000000001,1.0,4.0,1.0
124,CHEMBL314658,422.57000000000016,5.468200000000007,0.0,4.0,0.0
125,CHEMBL87170,418.53800000000007,5.069800000000005,0.0,4.0,0.0
126,CHEMBL87959,468.6390000000002,5.817000000000006,0.0,5.0,0.0
127,CHEMBL87295,370.4940000000001,4.431500000000004,0.0,4.0,1.0
128,CHEMBL82810,396.5320000000001,4.821600000000005,0.0,4.0,1.0
129,CHEMBL157182,305765.0,2.915000000000001,1.0,4.0,0.0
130,CHEMBL88049,466.6670000000002,6.718400000000008,0.0,4.0,0.0
131,CHEMBL87128,356.46700000000004,4.041400000000003,0.0,4.0,1.0
132,CHEMBL160219,361.4450000000001,3.874500000000003,1.0,4.0,1.0
133,CHEMBL445916,392.2970000000002,4.287200000000003,1.0,4.0,1.0
134,CHEMBL85473,412.57500000000016,5.008700000000005,1.0,4.0,0.0
135,CHEMBL314502,387.5250000000001,4.261580000000004,0.0,5.0,1.0
136,CHEMBL87320,406.5680000000002,4.384400000000004,0.0,5.0,1.0
137,CHEMBL87280,476.5740000000002,4.856400000000004,0.0,6.0,1.0
138,CHEMBL348607,392.2970000000002,4.194400000000004,1.0,4.0,1.0
139,CHEMBL313809,422.57000000000016,5.468200000000007,0.0,4.0,0.0
140,CHEMBL87849,436.5280000000001,5.208900000000005,0.0,4.0,0.0
141,CHEMBL314398,468.6390000000002,5.563100000000007,0.0,5.0,0.0
142,CHEMBL87373,382.50500000000005,4.431500000000004,0.0,4.0,1.0
143,CHEMBL156931,271.32,2.2616000000000005,1.0,4.0,1.0
144,CHEMBL83005,440.58500000000015,4.663000000000005,1.0,5.0,1.0
145,CHEMBL315515,446.6330000000003,5.3071000000000055,0.0,5.0,0.0
146,CHEMBL441632,342.44000000000005,3.558500000000002,0.0,4.0,1.0
147,CHEMBL87937,386.4930000000001,3.667900000000003,0.0,5.0,1.0
148,CHEMBL441808,482.6660000000002,5.689200000000007,1.0,5.0,0.0
149,CHEMBL87649,424.56700000000006,5.131300000000005,0.0,5.0,0.0
150,CHEMBL160836,364.24300000000005,3.414200000000002,1.0,4.0,1.0
151,CHEMBL156861,350216.0,3.0241000000000016,1.0,4.0,0.0
152,CHEMBL314766,420.5510000000002,3.911000000000002,0.0,6.0,1.0
153,CHEMBL88026,438.6130000000001,5.938200000000007,0.0,4.0,0.0
154,CHEMBL86233,396.57600000000014,5.517800000000006,0.0,3.0,0.0
155,CHEMBL155350,319.7920000000001,3.3051000000000013,1.0,4.0,1.0
156,CHEMBL155863,299.374,3.041800000000001,1.0,4.0,1.0
157,CHEMBL87980,368.47800000000007,4.207500000000003,0.0,4.0,1.0
158,CHEMBL87441,400.5200000000001,4.058000000000003,0.0,5.0,1.0
159,CHEMBL158946,364.24300000000005,3.3663000000000025,0.0,4.0,1.0
160,CHEMBL87550,394.5600000000002,5.742500000000006,0.0,3.0,0.0
161,CHEMBL609440,453.49600000000015,4.571000000000005,0.0,7.0,1.0
162,CHEMBL350464,285.34700000000004,2.651700000000001,1.0,4.0,1.0
163,CHEMBL313271,473.5710000000002,5.439400000000005,0.0,7.0,0.0
164,CHEMBL423313,462.6320000000002,5.079700000000005,0.0,6.0,0.0
165,CHEMBL309667,247.298,1.4073999999999998,3.0,4.0,1.0
